conta,descricao,origem,akd_debito,akd_credito,akd_abs_saldo,ct2_debito,ct2_credito,ct2_abs_saldo,ct2_max,ct2_min,diff_abs_saldo,diff_ct2_debito,diff_ct2_credito,diff_ct2_max,diff_ct2_min,melhor_formula_ct2
1241010098,IMOBILIZADO A CLASSIFICAR,ambos,141348.70,89952.70,51396.00,2534640.04,2534640.00,0.04,2534640.04,2534640.00,51395.96,2483244.04,2483244.00,2483244.04,2483244.00,ct2_abs_saldo
1241990002,(-)_D.A - EDIFICAÇÕES/ESTRUTURA,somente_ct2,0.00,0.00,0.00,0.00,374487.66,374487.66,374487.66,0.00,374487.66,0.00,374487.66,374487.66,0.00,ct2_debito
1241990003,(-)_D.A - MAQ/EQUIPAMENTOS DE ESCRITO,somente_ct2,0.00,0.00,0.00,10818.17,9038.37,1779.80,10818.17,9038.37,1779.80,10818.17,9038.37,10818.17,9038.37,ct2_abs_saldo
1241990004,(-)_D.A - INSTALACOES,somente_ct2,0.00,0.00,0.00,6330.02,3170.45,3159.57,6330.02,3170.45,3159.57,6330.02,3170.45,6330.02,3170.45,ct2_abs_saldo
1241990005,(-)_D.A - EQUIPAMENTOS DE INFORMATICA,somente_ct2,0.00,0.00,0.00,1271169.39,441213.05,829956.34,1271169.39,441213.05,829956.34,1271169.39,441213.05,1271169.39,441213.05,ct2_credito
1241990006,(-)_D.A - MOVEIS E UTENSILIOS,somente_ct2,0.00,0.00,0.00,1420177.79,147545.50,1272632.29,1420177.79,147545.50,1272632.29,1420177.79,147545.50,1420177.79,147545.50,ct2_credito
1241990008,(-)_D.A - MARCENARIA/ESQUADRIAS,somente_ct2,0.00,0.00,0.00,0.00,208048.71,208048.71,208048.71,0.00,208048.71,0.00,208048.71,208048.71,0.00,ct2_debito
1241990009,(-)_D.A. - INSTALAÇÕES ELÉTRICAS,somente_ct2,0.00,0.00,0.00,0.00,345880.95,345880.95,345880.95,0.00,345880.95,0.00,345880.95,345880.95,0.00,ct2_debito
1241990011,(-)_D.A - INSTALAÇÕES HIDRÁULICAS,somente_ct2,0.00,0.00,0.00,0.00,158117.01,158117.01,158117.01,0.00,158117.01,0.00,158117.01,158117.01,0.00,ct2_debito
1241990012,(-)_D.A - SISTEMAS DE AR-CONDICIONADO,somente_ct2,0.00,0.00,0.00,0.00,329520.24,329520.24,329520.24,0.00,329520.24,0.00,329520.24,329520.24,0.00,ct2_debito
1241990013,(-)_D.A - ELEVADORES,somente_ct2,0.00,0.00,0.00,0.00,93653.13,93653.13,93653.13,0.00,93653.13,0.00,93653.13,93653.13,0.00,ct2_debito
1241990014,(-)_D.A - SISTEMAS DE SEGURANÇA,somente_ct2,0.00,0.00,0.00,0.00,52012.17,52012.17,52012.17,0.00,52012.17,0.00,52012.17,52012.17,0.00,ct2_debito
1241990015,(-)_D.A - REVESTIMENTOS/ACABAMENTOS,somente_ct2,0.00,0.00,0.00,0.00,728170.44,728170.44,728170.44,0.00,728170.44,0.00,728170.44,728170.44,0.00,ct2_debito
1241990016,(-)_D.A - COBERTURAS E FACHADAS,somente_ct2,0.00,0.00,0.00,0.00,148234.71,148234.71,148234.71,0.00,148234.71,0.00,148234.71,148234.71,0.00,ct2_debito
