reason_signature;candidatos;selecionados;taxa_selecao
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|doc_hist_2|ent05_conta|insight_xnumap_cc|insight_xnumap_conta|insight_xnumap_valor|texto|tokens|valor|xdoc|xdoc_at01cr|xnumap_at04db|xnumap_xdocum;12;4;33.33
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_hist_2|ent05_conta|insight_classe_valor_competencia|proc_ri_competencia|proc_ri_conta|proc_ri_data_valor_exato|tokens|valor;12;12;100.0
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|doc_hist_1|insight_classe_valor_competencia|tokens|valor|xdoc|xdoc_at01cr;12;6;50.0
doc_extra|doc_hist_1|ent05_conta|texto|tokens|valor|xdoc|xdoc_at01cr;12;6;50.0
doc_extra|doc_hist_1|texto|tokens|valor|xdoc|xdoc_at01cr;12;6;50.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_hist_2|insight_classe_valor_competencia|proc_ri_competencia|proc_ri_data_valor_exato|tokens|valor;12;0;0.0
chave_estruturada|competencia|doc_extra|valor|xdoc|xdoc_at01cr;12;3;25.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_1|insight_classe_valor_competencia|valor;12;0;0.0
akd_xdoc_ct2_recno|cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|ent05_conta|insight_classe_valor_competencia|tokens|valor;11;11;100.0
cc|chave_estruturada|competencia|doc_extra|doc_hist_2|texto|tokens|valor;11;0;0.0
cc|competencia|competencia_conta_cc|doc_hist_1|ent05_conta|tokens|valor;11;1;9.09
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_2|ent05_conta|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_conta|insight_xnumap_valor|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;10;3;30.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_2|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_valor|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;10;5;50.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_1|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_valor|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;10;5;50.0
chave_estruturada|competencia|doc_extra|texto|tokens|valor|xdoc|xdoc_at01cr;10;4;40.0
competencia|doc_hist_1|tokens|valor;10;0;0.0
chave_estruturada|competencia|doc_extra|doc_hist_1|ent05_conta|texto|tokens|valor;9;1;11.11
chave_estruturada|competencia|doc_extra|tokens|valor;9;0;0.0
chave_estruturada|doc_extra|valor;9;0;0.0
chave_estruturada|competencia|doc_extra|doc_hist_2|ent05_conta|insight_xnumap_conta|insight_xnumap_valor|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;8;4;50.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_hist_1|ent05_conta|insight_classe_valor_competencia|tokens|valor;7;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_hist_1|insight_classe_valor_competencia|tokens|valor;7;0;0.0
competencia|doc_hist_2|tokens|valor;7;0;0.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_2|ent05_conta|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_conta|insight_xnumap_valor|tokens|valor|xdoc|xdoc_at01cr|xnumap_at04db|xnumap_xdocum;6;2;33.33
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_2|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_valor|tokens|valor|xdoc|xdoc_at01cr|xnumap_at04db|xnumap_xdocum;6;2;33.33
