key;akd_rows;ct2_rows;akd_total;ct2_total;status
SE5246008;2;2;12.20;12.20;forte_grupo
SE5246041;2;2;12.20;12.20;forte_grupo
SE5246046;2;2;140.00;140.00;forte_grupo
SE5246055;2;2;140.00;140.00;forte_grupo
SE5246072;2;2;12504.00;12504.00;forte_grupo
SE5246073;2;2;1626.12;1626.12;forte_grupo
SE5246078;2;2;40.66;40.66;forte_grupo
SE5246085;2;2;12.20;12.20;forte_grupo
SE5246086;2;2;144.66;144.66;forte_grupo
SE5246103;2;2;579.12;579.12;forte_grupo
SE5246104;2;2;7131249.58;7131249.58;forte_grupo
SE5246108;2;2;298.78;298.78;forte_grupo
SE5246109;2;2;0.72;3.70;ambiguo
SE5246256;2;2;1874.24;1874.24;forte_grupo
SE5246257;2;2;12.20;12.20;forte_grupo
SE5246258;2;2;141.20;141.20;forte_grupo
SE5246473;3;2;5658.87;3772.58;ambiguo
SE5246474;3;2;685.83;457.22;ambiguo
SE5246514;3;2;5658.24;3772.16;ambiguo
SE5246517;2;2;12.20;12.20;forte_grupo
SE5246518;2;2;12.20;12.20;forte_grupo
SE5246529;3;2;12229.77;8153.18;ambiguo
SE5246693;4;2;149861129.12;147613212.18;ambiguo
SE5246695;4;2;695856.04;685418.20;ambiguo
SE5246840;3;2;146.64;97.76;ambiguo
SE5246873;2;2;120.00;120.00;forte_grupo
SE5246874;2;2;237.20;237.20;forte_grupo
SE5246875;2;2;80.40;80.40;forte_grupo
SE5247339;2;2;60.26;60.26;forte_grupo
SE5247370;2;2;63.20;63.20;forte_grupo
SE5247371;2;2;80.40;80.40;forte_grupo
SE5247372;2;2;33.40;33.40;forte_grupo
SE5247373;2;2;401.70;401.70;forte_grupo
SE5247374;2;2;116.20;116.20;forte_grupo
SE5247376;3;2;1619442.24;1079628.16;ambiguo
SE5247570;2;2;12.20;12.20;forte_grupo
SE5247571;2;2;12.20;12.20;forte_grupo
SE5247685;3;2;3325267.29;2216844.86;ambiguo
SE5247747;3;2;816029.13;544019.42;ambiguo
SE5247842;3;2;1393033.65;928689.10;ambiguo
SE5247845;3;2;87476.58;58317.72;ambiguo
SE5247964;3;2;116358.66;77572.44;ambiguo
SE5248059;3;2;1769467.29;1179644.86;ambiguo
SE5248061;3;2;1239437.13;826291.42;ambiguo
SE5248062;3;2;28246.17;18830.78;ambiguo
SE5248067;3;2;3790.11;2526.74;ambiguo
SE5248068;3;2;1200.00;800.00;ambiguo
SE5248069;3;2;124.17;82.78;ambiguo
SE5248070;3;2;2100.78;1400.52;ambiguo
SE5248071;3;2;1051.44;700.96;ambiguo
SE5248072;3;2;2012.88;1341.92;ambiguo
SE5248100;3;2;826.74;551.16;ambiguo
SE5248101;3;2;906.45;604.30;ambiguo
SE5248103;3;2;3748646.19;2499097.46;ambiguo
SE5248129;3;2;650004.21;433336.14;ambiguo
SE5248188;3;3;0.18;166746.28;ambiguo
SE5248229;2;2;12.20;12.20;forte_grupo
SE5248230;2;2;141.20;141.20;forte_grupo
SE5248231;2;2;12.20;12.20;forte_grupo
SE5248232;2;2;12.20;12.20;forte_grupo
SE5248233;2;2;12.20;12.20;forte_grupo
SE5248278;2;2;12.20;12.20;forte_grupo
SE5248279;2;2;12.20;12.20;forte_grupo
SE5248280;2;2;88.80;88.80;forte_grupo
SE5248281;2;2;31.90;31.90;forte_grupo
SE5248282;2;2;470.50;470.50;forte_grupo
SE5248283;2;2;270.60;270.60;forte_grupo
SE5248284;2;2;175.80;175.80;forte_grupo
SE5248523;3;2;338325.00;225550.00;ambiguo
SE5248843;3;2;7697.01;5131.34;ambiguo
SE5248845;3;2;19567.02;13044.68;ambiguo
SE5248847;3;2;798.39;532.26;ambiguo
SE5248884;2;2;12.20;12.20;forte_grupo
