reason_signature;candidatos;selecionados;taxa_selecao
chave_estruturada|competencia|doc_extra|doc_hist_2|tokens|valor|xnumap_at04db|xnumap_xdocum;3;0;0.0
chave_estruturada|competencia|doc_extra|ent05_conta|texto|tokens|valor|xdoc|xdoc_at01cr;3;1;33.33
chave_estruturada|competencia|doc_extra|doc_hist_1|valor|xdoc|xdoc_at01cr;3;1;33.33
chave_estruturada|competencia|doc_extra|ent05_conta|tokens|valor|xdoc|xdoc_at01cr;3;1;33.33
competencia|doc_extra|doc_hist_2|valor|xnumap_at04db|xnumap_xdocum;3;0;0.0
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|texto|tokens|valor;3;0;0.0
chave_estruturada|competencia|doc_extra|doc_hist_1|ent05_conta|valor;3;0;0.0
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|ent05_conta|valor;3;0;0.0
chave_estruturada|competencia|doc_extra|texto|tokens|valor;3;0;0.0
cc|chave_estruturada|competencia|doc_extra|valor;3;0;0.0
chave_estruturada|doc_extra|ent05_conta|valor;3;0;0.0
competencia|doc_hist_1|ent05_conta|tokens|valor;3;0;0.0
doc_hist_1|tokens|valor;3;0;0.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|ent05_conta|valor|xnumap_at04db|xnumap_xdocum;2;2;100.0
